query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.8504464285714286,85.04464285714286
(empty),317,0.5772870662460567,57.72870662460568
wildvision-battle,171,0.5614035087719298,56.14035087719298
COCO,63,0.7142857142857143,71.42857142857143
LCS-558K,41,0.6829268292682927,68.29268292682927
coco,40,0.6,60.0
VQAv2,35,0.7714285714285715,77.14285714285715
OK-VQA,32,0.71875,71.875
GQA,26,0.6923076923076923,69.23076923076923
vqav2,24,0.5416666666666666,54.166666666666664
TextVQA,14,0.5714285714285714,57.14285714285714
sharegpt4v-web-celebrity,7,0.7142857142857143,71.42857142857143
sharegpt4v-web-landmark,5,1.0,100.0
Google-Landmark,4,0.75,75.0
OCR-VQA,4,1.0,100.0
sharegpt4v-textvqa,3,0.6666666666666666,66.66666666666666
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,0.5,50.0
LRVInstruction,1,1.0,100.0
jailbreak-Fraud,1,1.0,100.0
jailbreak-typo-EconomicHarm,1,1.0,100.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,1.0,100.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,1.0,100.0
svit-complex_reasoning,1,1.0,100.0
