query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.8883928571428571,88.83928571428571
(empty),317,0.61198738170347,61.198738170347
wildvision-battle,171,0.52046783625731,52.046783625730995
COCO,63,0.7142857142857143,71.42857142857143
LCS-558K,41,0.6829268292682927,68.29268292682927
coco,40,0.55,55.00000000000001
VQAv2,35,0.7142857142857143,71.42857142857143
OK-VQA,32,0.625,62.5
GQA,26,0.6538461538461539,65.38461538461539
vqav2,24,0.5833333333333334,58.333333333333336
TextVQA,14,0.5,50.0
sharegpt4v-web-celebrity,7,0.8571428571428571,85.71428571428571
sharegpt4v-web-landmark,5,0.6,60.0
Google-Landmark,4,0.75,75.0
OCR-VQA,4,1.0,100.0
sharegpt4v-textvqa,3,0.6666666666666666,66.66666666666666
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,0.0,0.0
LRVInstruction,1,1.0,100.0
jailbreak-Fraud,1,0.0,0.0
jailbreak-typo-EconomicHarm,1,0.0,0.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,1.0,100.0
svit-complex_reasoning,1,0.0,0.0
