query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.8102678571428571,81.02678571428571
(empty),317,0.5993690851735016,59.93690851735016
wildvision-battle,171,0.631578947368421,63.1578947368421
COCO,63,0.8253968253968254,82.53968253968253
LCS-558K,41,0.7317073170731707,73.17073170731707
coco,40,0.65,65.0
VQAv2,35,0.8,80.0
OK-VQA,32,0.875,87.5
GQA,26,0.6923076923076923,69.23076923076923
vqav2,24,0.6666666666666666,66.66666666666666
TextVQA,14,0.7142857142857143,71.42857142857143
sharegpt4v-web-celebrity,7,0.8571428571428571,85.71428571428571
sharegpt4v-web-landmark,5,1.0,100.0
Google-Landmark,4,0.75,75.0
OCR-VQA,4,1.0,100.0
sharegpt4v-textvqa,3,0.6666666666666666,66.66666666666666
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,0.0,0.0
LRVInstruction,1,1.0,100.0
jailbreak-Fraud,1,0.0,0.0
jailbreak-typo-EconomicHarm,1,0.0,0.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,0.0,0.0
svit-complex_reasoning,1,1.0,100.0
